COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
"GENERATED VIA SPACETRACK.ORG API","JSPOC","35498","COSMOS 2451","PAYLOAD","U","09036A","2016-01-13 00:00:33","776352","12.40813398","0.0006117","82.4897","295.1782","197.7617","162.3243","0","999","29540","0.00015519","3.1e-07","0","1979791","0 COSMOS 2451","1 35498U 09036A   16013.00039093  .00000031  00000-0  15519-3 0  9990","2 35498  82.4897 295.1782 0006117 197.7617 162.3243 12.40813398295406","2009-036A","35498","7881.293","116.052","1507.979","1498.337"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","40920","COSMOS 2507","PAYLOAD","U","15050A","2016-01-13 00:00:35","46432","12.42929379","0.0010444","82.4946","290.3939","13.8147","346.3212","0","999","1380","0","1e-07","0","1979790","0 COSMOS 2507","1 40920U 15050A   16013.00040563  .00000010  00000-0  00000+0 0  9995","2 40920  82.4946 290.3939 0010444  13.8147 346.3212 12.42929379 13803","2015-050A","40920","7872.346","115.855","1502.433","1485.989"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","32955","COSMOS 2438","PAYLOAD","U","08025C","2016-01-13 00:01:17","321088","12.43292772","0.0020639","82.4988","202.599","339.8685","20.1582","0","999","34675","-3.4791e-05","5e-08","0","1979803","0 COSMOS 2438","1 32955U 08025C   16013.00089492  .00000005  00000-0 -34791-4 0  9996","2 32955  82.4988 202.5990 0020639 339.8685  20.1582 12.43292772346756","2008-025C","32955","7870.812","115.821","1508.922","1476.432"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","26610","STRV 1C","PAYLOAD","U","00072C","2016-01-13 00:01:33","511584","2.03491593","0.7333074","6.1955","202.3819","201.5698","94.5595","0","999","11254","0.0023763","-1.25e-06","0","1980270","0 STRV 1C","1 26610U 00072C   16013.00108231 -.00000125 +00000-0 +23763-2 0  9992","2 26610 006.1955 202.3819 7333074 201.5698 094.5595 02.03491593112542","2000-072C","26610","26304.952","707.645","39216.434","637.201"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","40120","CZ-4B R/B","ROCKET BODY","U","14049C","2016-01-13 00:02:15","666144","15.55759325","0.0111124","98.1189","150.9179","354.0937","5.8996","0","999","7882","0.00026893","0.00024455","0","1979796","0 CZ-4B R/B","1 40120U 14049C   16013.00157021  .00024455  00000-0  26893-3 0  9993","2 40120  98.1189 150.9179 0111124 354.0937   5.8996 15.55759325 78827","2014-049C","40120","6778.083","92.559","475.269","324.627"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","11690","OPS 5117 (NAVSTAR 5)","PAYLOAD","U","80011A","2016-01-13 00:02:59","902080","2.00573755","0.0433344","63.1969","166.7738","191.3008","49.685","0","999","27734","0","7.8e-07","0","1979733","0 OPS 5117 (NAVSTAR 5)","1 11690U 80011A   16013.00208220  .00000078  00000-0  00000+0 0  9996","2 11690  63.1969 166.7738 0433344 191.3008  49.6850  2.00573755277343","1980-011A","11690","26559.451","717.940","21332.254","19030.378"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","39484","COSMOS 2489","PAYLOAD","U","13076B","2016-01-13 00:03:05","100768","12.42895717","0.0023259","82.4872","22.1729","116.1228","244.225","0","999","9307","0","1e-07","0","1979787","0 COSMOS 2489","1 39484U 13076B   16013.00214237  .00000010  00000-0  00000+0 0  9995","2 39484  82.4872  22.1729 0023259 116.1228 244.2250 12.42895717 93070","2013-076B","39484","7872.488","115.858","1512.664","1476.043"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","30324","CZ-3A R/B","ROCKET BODY","U","07003B","2016-01-13 00:03:43","241184","3.29347779","0.6558255","24.3671","74.3725","27.7773","355.5805","0","999","7971","0.0014972","0.00043943","0","1979773","0 CZ-3A R/B","1 30324U 07003B   16013.00258381  .00043943 -55356-7  14972-2 0  9990","2 30324  24.3671  74.3725 6558255  27.7773 355.5805  3.29347779 79710","2007-003B","30324","19082.356","437.227","25218.918","189.525"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","40552","GONETS M 11 (M21)","PAYLOAD","U","15020A","2016-01-13 00:03:51","384384","12.42885944","0.0016818","82.485","243.7237","28.0303","332.168","0","999","3569","0","1e-07","0","1979790","0 GONETS M 11 (M21)","1 40552U 15020A   16013.00267806  .00000010  00000-0  00000+0 0  9994","2 40552  82.4850 243.7237 0016818  28.0303 332.1680 12.42885944 35696","2015-020A","40552","7872.529","115.859","1507.635","1481.154"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","29162","EUTE 113 WEST A(SATMEX 6","PAYLOAD","U","06020A","2016-01-13 00:04:14","204352","1.00271954","0.0002865","0.018","102.2137","192.5445","65.2017","0","999","3529","0","-3.9e-07","0","1980270","0 EUTE 113 WEST A(SATMEX 6","1 29162U 06020A   16013.00294218 -.00000039 +00000-0 +00000-0 0  9998","2 29162 000.0180 102.2137 0002865 192.5445 065.2017 01.00271954035297","2006-020A","29162","42164.684","1436.094","35798.629","35774.469"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","37948","BEIDOU 10","PAYLOAD","U","11073A","2016-01-13 00:04:44","867712","1.0028994","0.0037506","53.8598","316.7693","206.1901","43.704","0","999","1521","0.0001","-1.64e-06","0","1979778","0 BEIDOU 10","1 37948U 11073A   16013.00329708 -.00000164  00000-0  10000-3 0  9999","2 37948  53.8598 316.7693 0037506 206.1901  43.7040  1.00289940 15216","2011-073A","37948","42159.643","1435.836","35939.632","35623.384"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","10091","NTS 2","PAYLOAD","U","77053A","2016-01-13 00:05:24","838944","2.0044687","0.006176","64.3023","39.5372","230.2072","300.5414","0","999","28233","0","-1.5e-07","0","1979686","0 NTS 2","1 10091U 77053A   16013.00375971 -.00000015  00000-0  00000+0 0  9992","2 10091  64.3023  39.5372 0061760 230.2072 300.5414  2.00446870282332","1977-053A","10091","26570.658","718.394","20356.624","20028.423"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","27464","COSMOS 2390","PAYLOAD","U","02036A","2016-01-13 00:06:17","308800","12.44558067","0.002447","82.4801","205.9193","308.7501","51.1396","0","999","61409","6.572e-05","1.9e-07","0","1979802","0 COSMOS 2390","1 27464U 02036A   16013.00436700  .00000019  00000-0  65720-4 0  9999","2 27464  82.4801 205.9193 0024470 308.7501  51.1396 12.44558067614095","2002-036A","27464","7865.476","115.703","1506.588","1468.095"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","19468","CZ-4 R/B","ROCKET BODY","U","88080B","2016-01-13 00:07:00","221088","14.03502166","0.0071979","99.1081","348.859","31.1701","10.7402","0","999","40018","0.00021316","2.97e-06","0","1979727","0 CZ-4 R/B","1 19468U 88080B   16013.00486367  .00000297  00000-0  21316-3 0  9991","2 19468  99.1081 348.8590 0071979  31.1701  10.7402 14.03502166400186","1988-080B","19468","7259.829","102.600","933.950","829.439"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","13295","COSMOS 1382","PAYLOAD","U","82064A","2016-01-13 00:07:00","418944","2.00673305","0.5516527","67.827","112.9497","83.1533","273.2072","0","999","20416","0","-5.95e-06","0","1980270","0 COSMOS 1382","1 13295U 82064A   16013.00486596 -.00000595 +00000-0 +00000-0 0  9999","2 13295 067.8270 112.9497 5516527 083.1533 273.2072 02.00673305204161","1982-064A","13295","26550.667","717.584","34819.279","5525.784"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","14240","COSMOS 1486","PAYLOAD","U","83079A","2016-01-13 00:07:13","429920","14.33772516","0.0014688","74.0558","171.2904","312.1304","186.4277","0","999","69611","3.0981e-05","6e-07","0","1979778","0 COSMOS 1486","1 14240U 83079A   16013.00501655  .00000060  00000-0  30981-4 0  9992","2 14240  74.0558 171.2904 0014688 312.1304 186.4277 14.33772516696114","1983-079A","14240","7157.285","100.434","789.663","768.637"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","32705","SL-6 R/B(2)","ROCKET BODY","U","77093E","2016-01-13 00:08:32","656128","0.25806783","0.6458368","86.74","335.1582","273.5381","0.0077","0","999","201","0","4.36e-06","0","1979502","0 SL-6 R/B(2)","1 32705U 77093E   16013.00593352 +.00000436 +00000-0 +00000-0 0  9994","2 32705 086.7400 335.1582 6458368 273.5381 000.0077 00.25806783002016","1977-093E","32705","104210.767","5579.928","165135.781","30529.483"
