COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
"GENERATED VIA SPACETRACK.ORG API","JSPOC","29162","EUTE 113 WEST A(SATMEX 6","PAYLOAD","U","06020A","2016-01-14 00:00:17","893440","1.00272061","0.0002863","0.0204","103.5655","191.9288","64.464","0","999","3529","0","-4.1e-07","0","1980081","0 EUTE 113 WEST A(SATMEX 6","1 29162U 06020A   16014.00020710 -.00000041  00000-0  00000+0 0  9995","2 29162   0.0204 103.5655 0002863 191.9288  64.4640  1.00272061 35292","2006-020A","29162","42164.654","1436.092","35798.591","35774.447"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","27869","COSMOS 2401","PAYLOAD","U","03037B","2016-01-14 00:06:19","769472","12.45446564","0.002352","82.4667","194.8996","107.1039","253.2634","0","999","56397","-7.297e-05","0","0","1980056","0 COSMOS 2401","1 27869U 03037B   16014.00439548 -.00000000  00000-0 -72970-4 0  9991","2 27869  82.4667 194.8996 0023520 107.1039 253.2634 12.45446564563972","2003-037B","27869","7861.735","115.621","1502.091","1465.109"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","23671","ARIANE 42L+3 R/B","ROCKET BODY","U","95049B","2016-01-14 00:07:22","355040","2.26487599","0.7249632","7.079","147.6468","135.404","312.9268","0","999","16570","0.0015344","8.57e-06","0","1980707","0 ARIANE 42L+3 R/B","1 23671U 95049B   16014.00511985 +.00000857 +00000-0 +15344-2 0  9996","2 23671 007.0790 147.6468 7249632 135.4040 312.9268 02.26487599165702","1995-049B","23671","24492.825","635.796","35871.087","358.293"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","23671","ARIANE 42L+3 R/B","ROCKET BODY","U","95049B","2016-01-14 00:07:22","355040","2.26487599","0.7249632","7.079","147.6468","135.404","312.9268","0","999","16568","0.0015344","8.57e-06","0","1980736","0 ARIANE 42L+3 R/B","1 23671U 95049B   16014.00511985  .00000857  00000-0  15344-2 0  9996","2 23671   7.0790 147.6468 7249632 135.4040 312.9268  2.26487599165689","1995-049B","23671","24492.825","635.796","35871.087","358.293"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","39035","MEXSAT 3","PAYLOAD","U","12075B","2016-01-14 00:07:24","659328","1.00271139","0.0002219","0.017","255.5613","28.3392","76.0749","0","999","1130","0","-2.9e-07","0","1980049","0 MEXSAT 3","1 39035U 12075B   16014.00514652 -.00000029  00000-0  00000+0 0  9991","2 39035   0.0170 255.5613 0002219  28.3392  76.0749  1.00271139 11300","2012-075B","39035","42164.913","1436.106","35796.134","35777.421"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","25416","ORBCOMM FM 20","PAYLOAD","U","98046D","2016-01-14 00:07:25","136256","14.32163956","0.0001268","44.9947","183.6392","152.0606","357.2631","0","999","91040","0.00012218","1.92e-06","0","1980051","0 ORBCOMM FM 20","1 25416U 98046D   16014.00515204  .00000192  00000-0  12218-3 0  9993","2 25416  44.9947 183.6392 0001268 152.0606 357.2631 14.32163956910407","1998-046D","25416","7162.643","100.547","785.416","783.600"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","16446","SL-12 R/B(AUX MOTOR)","ROCKET BODY","U","85118L","2016-01-14 00:10:25","586976","4.34683583","0.5764851","64.8459","354.1043","192.6425","142.5764","0","999","47062","0.00034735","6.87e-06","0","1980045","0 SL-12 R/B(AUX MOTOR)","1 16446U 85118L   16014.00724059  .00000687  00000-0  34735-3 0  9999","2 16446  64.8459 354.1043 5764851 192.6425 142.5764  4.34683583470626","1985-118L","16446","15859.385","331.275","18623.949","338.550"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","28419","COSMOS 2408","PAYLOAD","U","04037A","2016-01-14 00:10:30","103104","12.45601339","0.0015451","82.4811","190.6169","335.7773","24.2594","0","999","51407","-0.00011901","-7e-08","0","1980075","0 COSMOS 2408","1 28419U 04037A   16014.00729286 -.00000007  00000-0 -11901-3 0  9998","2 28419  82.4811 190.6169 0015451 335.7773  24.2594 12.45601339514070","2004-037A","28419","7861.084","115.606","1495.095","1470.803"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","39360","SIRIUS FM-6","PAYLOAD","U","13058A","2016-01-14 00:12:45","122112","1.00269592","3.98e-05","0.0376","47.2641","322.1835","350.5531","0","999","817","0","-2.1e-07","0","1980249","0 SIRIUS FM-6","1 39360U 13058A   16014.00885558 -.00000021  00000-0  00000+0 0  9992","2 39360   0.0376  47.2641 0000398 322.1835 350.5531  1.00269592  8179","2013-058A","39360","42165.346","1436.128","35788.889","35785.533"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","39360","SIRIUS FM-6","PAYLOAD","U","13058A","2016-01-14 00:12:47","148192","1.00270948","1.89e-05","0.0368","45.6836","241.1429","73.1714","0","999","817","0","-2.1e-07","0","1980386","0 SIRIUS FM-6","1 39360U 13058A   16014.00887903 -.00000021  00000-0  00000+0 0  9998","2 39360   0.0368  45.6836 0000189 241.1429  73.1714  1.00270948  8173","2013-058A","39360","42164.966","1436.108","35787.628","35786.034"
