COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
"GENERATED VIA SPACETRACK.ORG API","JSPOC","14900","CZ-3 R/B","ROCKET BODY","U","84035B","2016-01-08 00:07:39","933120","2.33710431","0.7183845","30.5029","246.9006","43.5943","354.6088","0","999","20244","0.00098405","4.67e-06","0","1977518","0 CZ-3 R/B","1 14900U 84035B   16008.00532330  .00000467  00000-0  98405-3 0  9991","2 14900  30.5029 246.9006 7183845  43.5943 354.6088  2.33710431202446","1984-035B","14900","23985.555","616.147","34838.271","376.569"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","730","SOLRAD 7A","PAYLOAD","U","64001D","2016-01-08 00:07:44","824224","13.95540491","0.0016694","69.9048","181.2897","252.8625","250.144","0","999","52915","3.9256e-05","0","0","1977525","0 SOLRAD 7A","1 00730U 64001D   16008.00537991 -.00000000  00000-0  39256-4 0  9990","2 00730  69.9048 181.2897 0016694 252.8625 250.1440 13.95540491529159","1964-001D","730","7287.415","103.185","921.446","897.115"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","37744","GLOBALSTAR M089","PAYLOAD","U","11033F","2016-01-08 00:09:02","878848","12.62265855","0.0001283","51.9916","240.5716","93.0672","54.5269","0","999","20947","0.00020313","-6.7e-07","0","1977567","0 GLOBALSTAR M089","1 37744U 11033F   16008.00628332 -.00000067  00000-0  20313-3 0  9998","2 37744  51.9916 240.5716 0001283  93.0672  54.5269 12.62265855209479","2011-033F","37744","7791.742","114.080","1414.607","1412.608"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","38040","GLOBALSTAR M084","PAYLOAD","U","11080A","2016-01-08 00:09:32","280768","12.62274267","6.3e-05","52.0011","106.1165","115.557","293.1866","0","999","18748","-9.3493e-05","-1.21e-06","0","1977511","0 GLOBALSTAR M084","1 38040U 11080A   16008.00662362 -.00000121  00000-0 -93493-4 0  9993","2 38040  52.0011 106.1165 0000630 115.5570 293.1866 12.62274267187481","2011-080A","38040","7791.708","114.079","1414.064","1413.082"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","26033","ACRIMSAT","PAYLOAD","U","99070B","2016-01-08 00:10:14","869920","14.62003209","0.0027537","97.8606","166.6012","202.3843","157.6159","0","999","85537","4.682e-05","1.91e-06","0","1977499","0 ACRIMSAT","1 26033U 99070B   16008.00711655  .00000191  00000-0  46820-4 0  9994","2 26033  97.8606 166.6012 0027537 202.3843 157.6159 14.62003209855379","1999-070B","26033","7064.850","98.494","706.169","667.260"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","10998","SL-6 R/B(2)","ROCKET BODY","U","78066D","2016-01-08 00:10:42","472992","1.99916293","0.6177988","67.2928","41.9796","48.8091","350.231","0","999","1685","0","-7.33e-06","0","1978186","0 SL-6 R/B(2)","1 10998U 78066D   16008.00743603 -.00000733 +00000-0 +00000-0 0  9996","2 10998 067.2928 041.9796 6177988 048.8091 350.2310 01.99916293016858","1978-066D","10998","26617.650","720.301","36683.867","3795.162"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","39431","BRITE-PL","PAYLOAD","U","13066R","2016-01-08 00:11:34","94400","14.46638912","0.0202012","97.683","27.7529","305.3927","52.8542","0","999","11236","7.3626e-05","2.93e-06","0","1977538","0 BRITE-PL","1 39431U 13066R   16008.00803350  .00000293  00000-0  73626-4 0  9992","2 39431  97.6830  27.7529 0202012 305.3927  52.8542 14.46638912112366","2013-066R","39431","7114.784","99.541","880.376","592.922"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","33207","ECHOSTAR 11","PAYLOAD","U","08035A","2016-01-08 00:11:45","118176","1.00270592","0.0003399","0.0294","38.4719","266.6286","54.8676","0","999","2742","0","-4.9e-07","0","1977774","0 ECHOSTAR 11","1 33207U 08035A   16008.00816109 -.00000049  00000-0  00000+0 0  9994","2 33207   0.0294  38.4719 0003399 266.6286  54.8676  1.00270592 27421","2008-035A","33207","42165.066","1436.113","35801.263","35772.599"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","10150","COSMOS 931","PAYLOAD","U","77068A","2016-01-08 00:11:47","407776","2.00368409","0.5336297","69.1908","266.8874","69.6009","152.6613","0","999","28227","0","7.11e-06","0","1978186","0 COSMOS 931","1 10150U 77068A   16008.00818759 +.00000711 +00000-0 +00000-0 0  9997","2 10150 069.1908 266.8874 5336297 069.6009 152.6613 02.00368409282275","1977-068A","10150","26577.594","718.676","34382.053","6016.865"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","27426","DIRECTV 5 (TEMPO 1)","PAYLOAD","U","02023A","2016-01-08 00:12:20","683872","1.00272175","0.0003359","0.0172","57.9445","233.4067","68.6106","0","999","5010","0","-4.8e-07","0","1978186","0 DIRECTV 5 (TEMPO 1)","1 27426U 02023A   16008.00857273 -.00000048 +00000-0 +00000-0 0  9998","2 27426 000.0172 057.9445 0003359 233.4067 068.6106 01.00272175050100","2002-023A","27426","42164.622","1436.091","35800.650","35772.324"
