COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
"GENERATED VIA SPACETRACK.ORG API","JSPOC","33207","ECHOSTAR 11","PAYLOAD","U","08035A","2016-01-11 00:00:05","192640","1.00271272","0.0003412","0.0189","51.0608","257.1311","51.7706","0","999","2745","0","-5.4e-07","0","1978893","0 ECHOSTAR 11","1 33207U 08035A   16011.00006010 -.00000054  00000-0  00000+0 0  9996","2 33207   0.0189  51.0608 0003412 257.1311  51.7706  1.00271272 27451","2008-035A","33207","42164.875","1436.104","35801.127","35772.354"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","27426","DIRECTV 5 (TEMPO 1)","PAYLOAD","U","02023A","2016-01-11 00:00:33","639840","1.00270437","0.0003323","0.0234","69.1309","226.3654","64.4626","0","999","5010","0","-5.3e-07","0","1978935","0 DIRECTV 5 (TEMPO 1)","1 27426U 02023A   16011.00038935 -.00000053  00000-0  00000+0 0  9993","2 27426   0.0234  69.1309 0003323 226.3654  64.4626  1.00270437 50107","2002-023A","27426","42165.109","1436.116","35800.986","35772.963"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","7493","SL-3 R/B","ROCKET BODY","U","74083B","2016-01-11 00:00:58","988736","14.07606423","0.0038171","81.1833","310.6057","102.0644","258.4806","0","999","11521","0.00010937","1.98e-06","0","1978749","0 SL-3 R/B","1 07493U 74083B   16011.00068274  .00000198  00000-0  10937-3 0  9992","2 07493  81.1833 310.6057 0038171 102.0644 258.4806 14.07606423115214","1974-083B","7493","7245.711","102.301","895.233","839.918"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","21047","NATO 4A","PAYLOAD","U","91001A","2016-01-11 00:01:21","121824","0.98284454","0.0005512","12.7489","22.0557","175.6422","289.1515","0","999","9070","0","-1.42e-06","0","1978765","0 NATO 4A","1 21047U 91001A   16011.00093891 -.00000142  00000-0  00000+0 0  9991","2 21047  12.7489  22.0557 0005512 175.6422 289.1515  0.98284454 90709","1991-001A","21047","42731.219","1465.135","36376.638","36329.531"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","26056","GALAXY 10R","PAYLOAD","U","00002A","2016-01-11 00:02:16","333152","0.99634716","0.0003124","6.2442","55.926","158.7571","330.0508","0","999","5835","0","3e-07","0","1978761","0 GALAXY 10R","1 26056U 00002A   16011.00157793  .00000030  00000-0  00000+0 0  9994","2 26056   6.2442  55.9260 0003124 158.7571 330.0508  0.99634716 58355","2000-002A","26056","42344.276","1445.279","35979.369","35952.913"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","25611","FENGYUN 2A AKM","ROCKET BODY","U","97029C","2016-01-11 00:02:16","333152","1.02879615","0.0216029","13.1443","29.1386","331.9538","183.5268","0","999","938","0","-2.94e-06","0","1979502","0 FENGYUN 2A AKM","1 25611U 97029C   16011.00157793 -.00000294 +00000-0 +00000-0 0  9999","2 25611 013.1443 029.1386 0216029 331.9538 183.5268 01.02879615009386","1997-029C","25611","41449.149","1399.694","35966.436","34175.592"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","8513","RADUGA 1","PAYLOAD","U","75123A","2016-01-11 00:02:20","279040","1.00247176","0.0007945","11.334","318.261","176.1647","51.4469","0","999","15673","0","-8e-07","0","1978750","0 RADUGA 1","1 08513U 75123A   16011.00162360 -.00000080  00000-0  00000+0 0  9990","2 08513  11.3340 318.2610 0007945 176.1647  51.4469  1.00247176156738","1975-123A","8513","42171.632","1436.449","35827.002","35759.991"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","634","SYNCOM 2 (A 26)","PAYLOAD","U","63031A","2016-01-11 00:02:20","354208","1.00296825","0.0006049","35.6977","353.1307","145.796","48.6566","0","999","19214","0","-1.2e-06","0","1978804","0 SYNCOM 2 (A 26)","1 00634U 63031A   16011.00162447 -.00000120  00000-0  00000+0 0  9992","2 00634  35.6977 353.1307 0006049 145.7960  48.6566  1.00296825192140","1963-031A","634","42157.713","1435.738","35805.080","35754.077"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","39036","ARIANE 5 R/B","ROCKET BODY","U","12075C","2016-01-11 00:03:35","28000","2.33404683","0.7220965","2.3787","111.7279","56.4652","352.3995","0","999","2578","0.00014997","-4.1e-07","0","1978934","0 ARIANE 5 R/B","1 39036U 12075C   16011.00248875 -.00000041  00000-0  14997-3 0  9998","2 39036   2.3787 111.7279 7220965  56.4652 352.3995  2.33404683 25788","2012-075C","39036","24006.497","616.954","34963.369","293.354"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","39774","BLOCK DM-SL R/B","ROCKET BODY","U","14030B","2016-01-11 00:04:10","464096","2.28885104","0.72247","0.5329","325.1223","133.2615","341.9444","0","999","1359","0.0003368","8.4e-07","0","1978808","0 BLOCK DM-SL R/B","1 39774U 14030B   16011.00289889  .00000084  00000-0  33680-3 0  9996","2 39774   0.5329 325.1223 7224700 133.2615 341.9444  2.28885104 13597","2014-030B","39774","24321.488","629.136","35514.899","371.807"
