COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
"GENERATED VIA SPACETRACK.ORG API","JSPOC","32389","ARIANE 5 R/B","ROCKET BODY","U","07063C","2016-01-10 00:00:46","153152","2.30497986","0.7135021","5.2454","149.9391","295.0839","352.2003","0","999","6784","-0.00024775","-8.1e-07","0","1978453","0 ARIANE 5 R/B","1 32389U 07063C   16010.00053418 -.00000081  00000-0 -24775-3 0  9999","2 32389   5.2454 149.9391 7135021 295.0839 352.2003  2.30497986 67846","2007-063C","32389","24207.898","624.734","35102.149","557.377"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","27684","ARIANE 44L R/B","ROCKET BODY","U","03007B","2016-01-10 00:00:56","148768","3.15547152","0.6633755","6.9712","293.1251","28.657","355.414","0","999","12257","0.0022069","0.0001957","0","1978414","0 ARIANE 44L R/B","1 27684U 03007B   16010.00064987  .00019570  00000-0  22069-2 0  9992","2 27684   6.9712 293.1251 6633755  28.6570 355.4140  3.15547152122572","2003-007B","27684","19634.763","456.350","26281.848","231.407"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","25420","ORBCOMM FM 13","PAYLOAD","U","98046H","2016-01-10 00:02:15","387072","14.32156969","0.0004192","44.9978","204.5245","25.8581","137.2494","0","999","90989","9.6882e-05","1.23e-06","0","1978390","0 ORBCOMM FM 13","1 25420U 98046H   16010.00156698  .00000123  00000-0  96882-4 0  9996","2 25420  44.9978 204.5245 0004192  25.8581 137.2494 14.32156969909894","1998-046H","25420","7162.667","100.547","787.534","781.529"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","32294","SKYNET 5B","PAYLOAD","U","07056B","2016-01-10 00:02:21","820416","1.00270936","0.0004094","0.0639","9.5226","284.9037","200.1708","0","999","2998","0","1.46e-06","0","1978399","0 SKYNET 5B","1 32294U 07056B   16010.00164144  .00000146  00000-0  00000+0 0  9996","2 32294   0.0639   9.5226 0004094 284.9037 200.1708  1.00270936 29988","2007-056B","32294","42164.969","1436.109","35804.097","35769.572"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","31136","AAM/PSLV","PAYLOAD","U","07013B","2016-01-10 00:02:22","776000","15.35057996","0.0007193","2.5025","183.5834","242.5258","117.4065","0","999","48367","0.0002091","8.562e-05","0","1978447","0 AAM/PSLV","1 31136U 07013B   16010.00165250  .00008562  00000-0  20910-3 0  9998","2 31136   2.5025 183.5834 0007193 242.5258 117.4065 15.35057996483672","2007-013B","31136","6838.885","93.807","465.669","455.831"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","40747","DELTA 4 R/B","ROCKET BODY","U","15036B","2016-01-10 00:02:27","886560","1.10070406","0.8229405","24.6407","106.2547","222.0633","31.6977","0","999","187","-6.3155e-05","-3.67e-06","0","1979034","0 DELTA 4 R/B","1 40747U 15036B   16010.00171165 -.00000367 +00000-0 -63155-4 0  9998","2 40747 024.6407 106.2547 8229405 222.0633 031.6977 01.10070406001878","2015-036B","40747","39623.678","1308.253","65853.474","637.613"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","25307","GLOBALSTAR M006","PAYLOAD","U","98023B","2016-01-10 00:02:32","466624","12.62266057","0.0002168","51.9953","189.5551","79.5682","96.3288","0","999","81703","3.8117e-05","-9.7e-07","0","1978411","0 GLOBALSTAR M006","1 25307U 98023B   16010.00176466 -.00000097  00000-0  38117-4 0  9998","2 25307  51.9953 189.5551 0002168  79.5682  96.3288 12.62266057817031","1998-023B","25307","7791.742","114.080","1415.296","1411.917"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","41195","CZ-3B R/B","ROCKET BODY","U","15083B","2016-01-10 00:03:40","867776","2.39593921","0.7227052","22.9616","330.1218","187.9019","162.7435","0","999","30","0.00088761","0.00037996","7.2405","1979028","0 CZ-3B R/B","1 41195U 15083B   16010.00255634  .00037996  72405-6  88761-3 0  9991","2 41195  22.9616 330.1218 7227052 187.9019 162.7435  2.39593921   300","2015-083B","41195","23591.269","601.016","34262.667","163.601"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","33207","ECHOSTAR 11","PAYLOAD","U","08035A","2016-01-10 00:03:55","90944","1.00269549","0.0003391","0.0331","48.0448","258.8658","53.0583","0","999","2744","0","-5.2e-07","0","1978634","0 ECHOSTAR 11","1 33207U 08035A   16010.00272096 -.00000052  00000-0  00000+0 0  9992","2 33207   0.0331  48.0448 0003391 258.8658  53.0583  1.00269549 27447","2008-035A","33207","42165.358","1436.128","35801.522","35772.925"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","26089","GARUDA 1","PAYLOAD","U","00011A","2016-01-10 00:04:11","66304","0.99915935","0.0004727","1.0074","157.8348","90.5706","239.6783","0","999","357","0","6.8e-07","0","1979034","0 GARUDA 1","1 26089U 00011A   16010.00290586 +.00000068 +00000-0 +00000-0 0  9999","2 26089 001.0074 157.8348 0004727 090.5706 239.6783 00.99915935003575","2000-011A","26089","42264.785","1441.211","35906.629","35866.672"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","27426","DIRECTV 5 (TEMPO 1)","PAYLOAD","U","02023A","2016-01-10 00:04:29","704512","1.00274891","0.0003585","0.0216","65.7826","229.7834","64.3919","0","999","5012","0","-5.2e-07","0","1979034","0 DIRECTV 5 (TEMPO 1)","1 27426U 02023A   16010.00312158 -.00000052 +00000-0 +00000-0 0  9994","2 27426 000.0216 065.7826 0003585 229.7834 064.3919 01.00274891050124","2002-023A","27426","42163.861","1436.052","35800.842","35770.610"
