COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
"GENERATED VIA SPACETRACK.ORG API","JSPOC","18883","SL-6 R/B(2)","ROCKET BODY","U","88013C","2016-01-09 00:00:13","982112","2.04038568","0.5604674","68.261","189.7372","118.3681","244.7086","0","999","20768","0","7.09e-06","0","1977908","0 SL-6 R/B(2)","1 18883U 88013C   16009.00016183  .00000709  00000-0  00000+0 0  9998","2 18883  68.2610 189.7372 5604674 118.3681 244.7086  2.04038568207680","1988-013C","18883","26257.920","705.748","34596.494","5163.077"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","28895","CUBESAT XI 5","PAYLOAD","U","05043F","2016-01-09 00:01:28","311168","14.63051366","0.001715","97.8213","191.0898","10.1677","349.9869","0","999","54368","8.8956e-05","4.13e-06","0","1977956","0 CUBESAT XI 5","1 28895U 05043F   16009.00102212  .00000413  00000-0  88956-4 0  9996","2 28895  97.8213 191.0898 0017150  10.1677 349.9869 14.63051366543685","2005-043F","28895","7061.475","98.424","695.450","671.230"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","39634","SENTINEL 1A","PAYLOAD","U","14016A","2016-01-09 00:02:07","271520","14.59199669","0.0001183","98.1816","18.1388","71.1103","289.023","0","999","9410","7.2268e-06","-1.2e-07","0","1977903","0 SENTINEL 1A","1 39634U 14016A   16009.00147305 -.00000012  00000-0  72268-5 0  9997","2 39634  98.1816  18.1388 0001183  71.1103 289.0230 14.59199669 94102","2014-016A","39634","7073.896","98.684","696.598","694.924"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","35579","FALCON 1 R/B","ROCKET BODY","U","09037B","2016-01-09 00:02:40","60320","14.77235792","0.00473","9.0448","264.7195","168.2032","309.0055","0","999","35033","7.3635e-05","1.177e-05","0","1977970","0 FALCON 1 R/B","1 35579U 09037B   16009.00185255  .00001177  00000-0  73635-4 0  9994","2 35579   9.0448 264.7195 0047300 168.2032 309.0055 14.77235792350339","2009-037B","35579","7016.199","97.479","671.251","604.878"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","24880","SUPERBIRD C","PAYLOAD","U","97036A","2016-01-09 00:02:47","430240","0.99071539","0.0010478","5.7938","57.8371","234.6103","125.2322","0","999","6751","0","-2.07e-06","0","1978144","0 SUPERBIRD C","1 24880U 97036A   16009.00193785 -.00000207  00000-0  00000+0 0  9995","2 24880   5.7938  57.8371 0010478 234.6103 125.2322  0.99071539 67515","1997-036A","24880","42504.596","1453.495","36170.998","36081.925"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","11153","ANIK B1 (TELESAT-4)","PAYLOAD","U","78116A","2016-01-09 00:03:16","477056","0.99805902","0.0026457","14.8111","350.8722","223.4069","322.5309","0","999","9797","0","3.9e-07","0","1978726","0 ANIK B1 (TELESAT-4)","1 11153U 78116A   16009.00227404 +.00000039 +00000-0 +00000-0 0  9991","2 11153 014.8111 350.8722 0026457 223.4069 322.5309 00.99805902097974","1978-116A","11153","42295.843","1442.800","36029.610","35805.806"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","39239","YAOGAN 17A","PAYLOAD","U","13046A","2016-01-09 00:03:56","838816","13.45146545","0.0084646","63.4111","173.3098","3.3661","356.794","0","999","11556","0","-9e-07","0","1977928","0 YAOGAN 17A","1 39239U 13046A   16009.00274119 -.00000090  00000-0  00000+0 0  9999","2 39239  63.4111 173.3098 0084646   3.3661 356.7940 13.45146545115562","2013-046A","39239","7468.306","107.051","1153.387","1026.954"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","12897","RADUGA 10","PAYLOAD","U","81102A","2016-01-09 00:04:19","331328","1.00294346","0.0005209","13.9833","335.2018","168.1499","36.2661","0","999","7917","0","-6e-07","0","1977904","0 RADUGA 10","1 12897U 81102A   16009.00300152 -.00000060  00000-0  00000+0 0  9992","2 12897  13.9833 335.2018 0005209 168.1499  36.2661  1.00294346 79179","1981-102A","12897","42158.408","1435.773","35802.233","35758.313"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","14193","SL-12 R/B(2)","ROCKET BODY","U","80060F","2016-01-09 00:04:19","216416","1.01609141","0.0019662","12.917","328.7536","185.0922","24.7396","0","999","8150","0","-2.43e-06","0","1977928","0 SL-12 R/B(2)","1 14193U 80060F   16009.00300019 -.00000243  00000-0  00000+0 0  9990","2 14193  12.9170 328.7536 0019662 185.0922  24.7396  1.01609141 81503","1980-060F","14193","41793.940","1417.195","35497.980","35333.630"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","24798","DFH-3 2","PAYLOAD","U","97021A","2016-01-09 00:04:35","5152","1.00180717","0.0004118","9.8743","43.0443","28.8461","90.11","0","999","6836","0","9.8e-07","0","1977913","0 DFH-3 2","1 24798U 97021A   16009.00318293  .00000098  00000-0  00000+0 0  9997","2 24798   9.8743  43.0443 0004118  28.8461  90.1100  1.00180717 68363","1997-021A","24798","42190.280","1437.402","35829.519","35794.772"
