COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE
"GENERATED VIA SPACETRACK.ORG API","JSPOC","862","DELTA 1 R/B","ROCKET BODY","U","64047B","2016-01-12 00:01:10","270848","2.05088324","0.7120023","16.7169","345.8538","147.4675","4.5652","0","999","18027","-0.0099494","-3.83e-06","0","1979232","0 DELTA 1 R/B","1 00862U 64047B   16012.00081332 -.00000383  00000-0 -99494-2 0  9997","2 00862  16.7169 345.8538 7120023 147.4675   4.5652  2.05088324180275","1964-047B","862","26168.242","702.136","38421.955","1158.258"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","27390","ATLAS 2A CENTAUR R/B","ROCKET BODY","U","02011B","2016-01-12 00:01:58","322208","4.46210408","0.5772377","26.687","354.8671","151.9672","257.4941","0","999","17687","0.0020073","0.00052916","0","1979267","0 ATLAS 2A CENTAUR R/B","1 27390U 02011B   16012.00136947  .00052916  00000-0  20073-2 0  9992","2 27390  26.6870 354.8671 5772377 151.9672 257.4941  4.46210408176875","2002-011B","27390","15585.068","322.717","18203.222","210.644"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","27946","ARIANE 5 R/B","ROCKET BODY","U","03043B","2016-01-12 00:03:22","352256","2.23486313","0.717027","7.8445","306.7672","203.6189","2.5391","0","999","10039","-0.001069","-1.6e-06","0","1979855","0 ARIANE 5 R/B","1 27946U 03043B   16012.00234204 -.00000160 +00000-0 -10690-2 0  9990","2 27946 007.8445 306.7672 7170270 203.6189 002.5391 02.23486313100397","2003-043B","27946","24711.620","644.334","36052.384","614.586"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","20706","DFS 2","PAYLOAD","U","90063B","2016-01-12 00:03:49","328064","0.99543766","0.0006202","12.3845","35.5604","214.1441","317.5406","0","999","8500","0","-1.37e-06","0","1979855","0 DFS 2","1 20706U 90063B   16012.00265426 -.00000137 +00000-0 +00000-0 0  9990","2 20706 012.3845 035.5604 0006202 214.1441 317.5406 00.99543766085008","1990-063B","20706","42370.064","1446.599","36018.207","35965.652"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","20945","SATCOM C1","PAYLOAD","U","90100A","2016-01-12 00:03:49","829184","0.99181394","0.0010014","9.6615","42.7564","278.9937","246.3937","0","999","8920","0","-8.3e-07","0","1979855","0 SATCOM C1","1 20945U 90100A   16012.00266006 -.00000083 +00000-0 +00000-0 0  9992","2 20945 009.6615 042.7564 0010014 278.9937 246.3937 00.99181394089205","1990-100A","20945","42473.205","1451.885","36137.602","36052.537"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","37214","FENGYUN 3B","PAYLOAD","U","10059A","2016-01-12 00:05:03","994944","14.15793574","0.0016435","98.822","327.9153","183.9975","176.1069","0","999","26865","3.9839e-05","3.4e-07","0","1979339","0 FENGYUN 3B","1 37214U 10059A   16012.00351846  .00000034  00000-0  39839-4 0  9992","2 37214  98.8220 327.9153 0016435 183.9975 176.1069 14.15793574268652","2010-059A","37214","7217.750","101.709","851.478","827.753"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","7828","COSMOS 739","PAYLOAD","U","75045H","2016-01-12 00:06:53","21376","12.54151854","0.0031473","74.0154","176.8184","336.7075","159.6633","0","999","86021","-0.00011395","-3.5e-07","0","1979205","0 COSMOS 739","1 07828U 75045H   16012.00478034 -.00000035  00000-0 -11395-3 0  9994","2 07828  74.0154 176.8184 0031473 336.7075 159.6633 12.54151854860218","1975-045H","7828","7825.313","114.818","1471.807","1422.550"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","29162","EUTE 113 WEST A(SATMEX 6","PAYLOAD","U","06020A","2016-01-12 00:08:10","352832","1.00271859","0.0002897","0.0152","99.6531","193.0628","67.2449","0","999","3527","0","-3.7e-07","0","1979445","0 EUTE 113 WEST A(SATMEX 6","1 29162U 06020A   16012.00567538 -.00000037  00000-0  00000+0 0  9992","2 29162   0.0152  99.6531 0002897 193.0628  67.2449  1.00271859 35270","2006-020A","29162","42164.711","1436.095","35798.791","35774.361"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","24732","INTELSAT 26 (JCSAT 4)","PAYLOAD","U","97007A","2016-01-12 00:08:26","869056","1.0027173","0.0003467","6.6237","54.0565","220.4384","260.7291","0","999","6908","0","2.2e-07","0","1979207","0 INTELSAT 26 (JCSAT 4)","1 24732U 97007A   16012.00586654  .00000022  00000-0  00000+0 0  9998","2 24732   6.6237  54.0565 0003467 220.4384 260.7291  1.00271730 69083","1997-007A","24732","42164.747","1436.097","35801.230","35771.993"
"GENERATED VIA SPACETRACK.ORG API","JSPOC","41173","DAMPE","PAYLOAD","U","15078A","2016-01-12 00:09:05","984064","15.2322571","0.0013507","97.2993","28.6649","190.1517","200.1765","0","999","396","2.2852e-05","4.73e-06","0","1979306","0 DAMPE","1 41173U 15078A   16012.00631926  .00000473  00000-0  22852-4 0  9991","2 41173  97.2993  28.6649 0013507 190.1517 200.1765 15.23225710  3969","2015-078A","41173","6874.255","94.536","505.405","486.835"
